label,review
1,今年土豆价格下跌，最主要的原因是跟风种植，很多农民种植农作物时，看涨价种植，看到什么价格好就种植什么，这种统一大面积种植，往往就会造成同一农产品集中上市，供大于求，出现了销售困难的问题，而今年由于土豆价格不理想，明年种植的人应该会减少，届时有利于土豆价格上涨，因此预测2022年土豆行情稳中有涨的几率较大。
1,2020年金乡与周边收购价格相比于近几年较低、【而白苔收购价格一直处于高位，对红苔后期上涨也起到了一定的助力作用】、早期收购价格在0.6至0.8元左右，后期在0.3至0.4元左右、因价格低，也促使了市场消耗量的提升、蒜苔入库结束后，因‘疫情’未完全解除，‘疫情’发展无法预料，入库总量相对过大，大蒜储存库存费相对较高，致使短期蒜苔储存商有陆续出库，保本出局现象，这也对后期库存起到了减压作用。
1,2019年，疯狂的大蒜涨的让人瞠目结舌，“蒜你狠”风靡全国，2020年受疫情影响，大蒜刚上市时的价格并不高，平均7-8毛一斤，进入8、9月份价格逐渐走高，最后涨到2.5元每斤左右逐渐稳定。
0,从年后开始蔬菜价格就在持续下滑中，很多春节期间的高价蔬菜都有所回落，消费者的购买负担也在逐步减轻，很多人感慨日常开支成本终于下跌了。
1,白菜的上涨，其实和产量降低有很大关系，因洪涝灾害的到来，白菜的产量不多，结果从刚上市后价格就不便宜，一直在1元以上，元旦过后随着消费需求增加，白菜又涨至2元以上。
0,近期，番茄价格一直“低迷”，有些地区的番茄甚至出现滞销。
1,二月蔬菜价格整体来看是前涨后跌，年前价格上涨较大，年后天气晴好，日照充足，温度上升较快，使本地蔬菜生长速度加快，成熟期缩短，部分蔬菜集中上市，有滞销现象，甚至出现烂货现象，叶类蔬菜尤为明显，天气晴好，省外蔬菜出产量增多，产地收购价格下跌较快。
0,据业内人士分析，南方气温升高，蔬菜仍在大量上市，同时山东寿光、吉林、辽宁等地蔬菜的上市量，也在逐步增多，而节日效应也已消退，受供求影响，近期蔬菜价格，仍以下降为主。
1,2、鲜嫩蔬菜价格节前大幅上涨临近春节，人们对鲜嫩的反季节蔬菜需求明显增加，特别是能够烘托节日气氛必需的蔬菜，更是家家户户过节时离不开的食材。
1,这种冲高，完全属于节日效应，节前价格大幅上涨，节后价格快速回落。
