title,time,author,sent,label
2020年柑橘的价格走势会如何？看完心里有数了！,2020/8/12 19:26,万果会,在柑橘的销售中，很多种植户可能都怪收果商压价，觉得价格低。,-1
2020年柑橘的价格走势会如何？看完心里有数了！,2020/8/12 19:26,万果会,其实柑橘的价格还是决定于供求关系，很多分析行情，多的就是说：天气导致果差，不熟，成色不好，卖不动。,-1
2020年柑橘的价格走势会如何？看完心里有数了！,2020/8/12 19:26,万果会,这在表中其实是属于柑橘的质量问题，低品质，自然价格低。,-1
2020年柑橘的价格走势会如何？看完心里有数了！,2020/8/12 19:26,万果会,由于物流问题，北欧市场上的橙子价格正在上涨。,1
2020年柑橘的价格走势会如何？看完心里有数了,2020/9/11 07:00,柑橘产业联盟,而在今年，受百年难遇的疫情影响，各地柑橘相继出现滞销情况，部分果农资金回笼困难，销售价格过低导致果农出现不同程度的负债，甚至有些果农还会因为连续三年低价而导致资金链断裂。,-1
全国柑橘电商价格整体上涨，后市或偏“稳弱”运行！四川交易实力最强，广西广东次之！,2020/12/8 18:51,万果会,六、2020年柑橘价格水平整体上涨，后市行情价格偏稳弱2020年全国柑橘的电商价格整体是上涨的，2020年7-10月，柑橘均价为2.5元/斤，较2019年同期均价（1.7元/斤）高出45%。,1
全国柑橘电商价格整体上涨，后市或偏“稳弱”运行！四川交易实力最强，广西广东次之！,2020/12/8 18:51,万果会,具体走势方面，7月柑橘刚刚上市，均价为3.6元/斤，较去年同期均价（2.5元/斤）上涨46%；,1
全国柑橘电商价格整体上涨，后市或偏“稳弱”运行！四川交易实力最强，广西广东次之！,2020/12/8 18:51,万果会,9月柑橘均价为1.9元/斤，环比继续下跌16%，同比上涨93%；,1
全国柑橘电商价格整体上涨，后市或偏“稳弱”运行！四川交易实力最强，广西广东次之！,2020/12/8 18:51,万果会,10月柑橘均价为2.0元/斤，环比转负为正，上涨5%，同比上涨13%，但同比涨幅较前几个月大幅度收窄。,1
全国柑橘电商价格整体上涨，后市或偏“稳弱”运行！四川交易实力最强，广西广东次之！,2020/12/3 20:19,柑橘信息网,10月柑橘均价为2.0元/斤，环比转负为正，上涨5%，同比上涨13%，但同比涨幅较前几个月大幅度收窄。,1
全国柑橘电商价格整体上涨，后市或偏“稳弱”运行！四川交易实力最强，广西广东次之！,2020/12/3 20:19,柑橘信息网,图3,1
柑橘行情分享 | 各品种价格维持稳定……,2020/11/26 17:31,柑露果服,四、爱媛38号爱媛38号主产地四川眉山、彭山两地上市的价格相差不大，但最近眉山地区的好果价格浮动较大，从之前的4元/斤降到现在的3.0~3.3元/斤，出现这种情况应该是眉山地区市面上开始大量上市导致，彭山地区价格也有下降的趋势，但目前较为稳定，好果卖3.2~4.0元/斤。,-1
早上市的柑橘走货慢、价格低，后期柑橘“扎堆成熟”，今年行情走势如何？,2020/11/18 22:31,农财网柑桔通,但在今年，平均收购价已经降到0.4元/斤。,-1
早上市的柑橘走货慢、价格低，后期柑橘“扎堆成熟”，今年行情走势如何？,2020/11/18 22:31,农财网柑桔通,全国几大主力产区——广西、江西、湖北等地的橘子集体卖出时也只有几毛一斤，并且销量不是十分好，呈现了积压滞销的情况。,-1
早上市的柑橘走货慢、价格低，后期柑橘“扎堆成熟”，今年行情走势如何？,2020/11/18 22:31,农财网柑桔通,据相关人士表示，往年这个时候，湖南、湖北等地的柑橘已经销掉了2/3，今年只有往年的一半左右。,-1
早上市的柑橘走货慢、价格低，后期柑橘“扎堆成熟”，今年行情走势如何？,2020/11/18 22:31,农财网柑桔通,就市场行情来看，除了双节期间橘子收购价冲破了1元/斤外，柑橘主体价格一直处于下跌趋势。,-1
早上市的柑橘走货慢、价格低，后期柑橘“扎堆成熟”，今年行情走势如何？,2020/11/18 22:31,农财网柑桔通,上个月金秋砂糖橘刚上市那会，客商抢着收货，价格更是开到了5元/斤的地头价。,1
早上市的柑橘走货慢、价格低，后期柑橘“扎堆成熟”，今年行情走势如何？,2020/11/18 22:31,农财网柑桔通,但好景不长，进入11月份之后，多地的金秋砂糖橘都上市了，价格也直线掉落。,-1
早上市的柑橘走货慢、价格低，后期柑橘“扎堆成熟”，今年行情走势如何？,2020/11/18 22:31,农财网柑桔通,但是今年柑橘行情总体不好，不管是早熟柑还是南丰蜜桔价格都比较低，开局不利的情况下也连累到了金秋砂糖橘。,-1
早上市的柑橘走货慢、价格低，后期柑橘“扎堆成熟”，今年行情走势如何？,2020/11/18 22:31,农财网柑桔通,今年预计沙糖桔早熟产区11月中下旬开始成熟上市，2月11日才过年，过年前销售时间较长，对整体的销售是有利的。,-1
早上市的柑橘走货慢、价格低，后期柑橘“扎堆成熟”，今年行情走势如何？,2020/11/18 22:31,农财网柑桔通,柑橘市场行情不好，最主要的原因是供大于求的结果，目前全国都在发展柑橘种植，加上疫情的因素，行情相对去年普遍有所回落。,-1
砂糖橘、沃柑、春见、不知火，四大热门柑橘价格三月走势如何？,2020/3/22 22:39,老刘微农技,使得沃柑的价格也小幅度下跌，前来收购的果商积极性也一般。,-1
砂糖橘、沃柑、春见、不知火，四大热门柑橘价格三月走势如何？,2020/3/22 22:39,老刘微农技,这几天耙耙柑的价格走势也并不是很好。,-1
砂糖橘、沃柑、春见、不知火，四大热门柑橘价格三月走势如何？,2020/3/22 22:39,老刘微农技,现在不知火的田地，收购价大概在两块七到三块二之间。,-1
砂糖橘、沃柑、春见、不知火，四大热门柑橘价格三月走势如何？,2020/3/22 22:39,老刘微农技,想砂糖橘的水果更是接到了几毛钱1斤。,-1
预计后期水果价格将继续回落！奉劝柑橘成熟适价果断出手！,2020/10/20 17:52,作物大王新农盟,其中，梨、柑橘、香蕉批发价格分别下降2.4%、1.7%和1.1%。,-1
预计后期水果价格将继续回落！奉劝柑橘成熟适价果断出手！,2020/10/20 17:52,作物大王新农盟,商务部表示，伴随秋季时令水果上市量增加，预计后期水果价格仍将小幅回落。,-1
预计后期水果价格将继续回落！奉劝柑橘成熟适价果断出手！,2020/10/20 17:52,作物大王新农盟,例如，柑橘、猕猴桃、柚子等集中上市，将成为市场销售主力，价格将进入季节性下跌阶段。,-1
预计后期水果价格将继续回落！奉劝柑橘成熟适价果断出手！,2020/10/20 17:52,作物大王新农盟,与此同时，今年蜜桔、青皮橙、阳光玫瑰、红心猕猴桃等水果的批发价跟往年相比均有所走低。,-1
预计后期水果价格将继续回落！奉劝柑橘成熟适价果断出手！,2020/10/20 17:52,作物大王新农盟,因此，随着柑橘供应量的不断增加，后期价格下降是不争事实。,-1
专家预测：柑橘市场或将呈现9大趋势！,2020/6/16 17:40,蒲江丑柑产业协会,受生产成本和黄龙病影响，黄龙病区主要栽培的柑橘品种低价持续时间一般不会超过4年，只要熬过低价期，就会迎来价格快速上升。,1
2020沙糖桔价格预测趋势如何？未来五年会怎么发展？,2020/6/24 11:20,柑橘信息网,2019年广西产地沙糖桔收购价能达到4-5元，高的能超过5元/斤，现在是价格直线下降，2块多一斤很常见，沙糖桔成”杀人桔“，品质不是很好的，收购价还不到2元/斤。,-1
2020沙糖桔价格预测趋势如何？未来五年会怎么发展？,2020/6/24 11:20,柑橘信息网,2020沙糖桔价格趋势走低原因有近几年沙糖桔的种植面积直线增加，一些没有种植沙糖桔的农户，看到别人种植沙糖桔利润不错，自己也开始种植，同时，不是沙糖桔产地的地方，也开始种植，导致种植面积增加，产量过剩，价格上不去。,-1
2020沙糖桔价格预测趋势如何？未来五年会怎么发展？,2020/6/24 11:20,柑橘信息网,而且一些产地的沙糖桔提前上市，与蜜桔、沃柑出现了“撞车”，消费者的选择增多，销量受阻，导致2020沙糖桔价格下降。,-1
2020沙糖桔价格预测趋势如何？未来五年会怎么发展？,2020/6/24 11:20,柑橘信息网,未来五年沙糖桔种植规模会减少，价格稳定在2块左右沙糖桔算上今年已经有三年没有好的行情了，如果说第一年大家还不愿意承认失败，认为是大雪天销路不畅导致没有好价格。,-1
柑橘行情分享 l 沃柑地头价3.5~4元/斤，后期价格走势怎样？,2020/12/4 18:39,柑露果服,此前，柑橘面临最大的一个问题：就是供大于求，柑橘的产量逐年增加，每年以8%左右的速度增长，这是柑橘价格低迷的重要因素之一。,-1
跌！产量高，上市期集中，各品类柑橘行情呈下跌态势，但交易额增幅大！,2020/12/8 22:36,种植助手,秋季是个丰收的季节，目前，市场上各类果品保持货丰量足，据统计，11月果品各品类中，葡萄、香蕉、地产类、芒果、金桔等交易量增加快速，同比上涨分别为37.03%、29.54%、21.04%、18.81%、11.40%。,1
柑橘行情分享 |  砂糖橘3~3.5元/斤，其他价格怎样？,2020/11/24 17:51,柑露果服,随着各地砂糖橘、贡柑、八月桔、脐橙等柑橘上市，各品种均有不同程度跌价。,-1
柑橘行情分享 |  砂糖橘3~3.5元/斤，其他价格怎样？,2020/11/24 17:51,柑露果服,接下来小柑为大家分享各品种的最新行情。,-1
柑橘行情分享 |  砂糖橘3~3.5元/斤，其他价格怎样？,2020/11/24 17:51,柑露果服,四、南丰蜜桔南丰蜜桔上市尾期，广西桂林11月份上市的南丰蜜桔价格在0.7~1.0元/斤之间，价格略高于上周。,1
今年“柑橘低开”行情，沃柑沙糖桔会不会冲突？要做好这4点,2020/12/20 23:30,柑橘之家技术产业联盟,红江橙价格较去年低20%。,-1
今年“柑橘低开”行情，沃柑沙糖桔会不会冲突？要做好这4点,2020/12/20 23:30,柑橘之家技术产业联盟,多种柑橘提早上市，品质不佳影响价格。,-1
今年“柑橘低开”行情，沃柑沙糖桔会不会冲突？要做好这4点,2020/12/20 23:30,柑橘之家技术产业联盟,本季爱媛价格较为混乱，市场上的果品价格从3元/斤到5元/斤不等，且价格逐渐走低。,-1
今年“柑橘低开”行情，沃柑沙糖桔会不会冲突？要做好这4点,2020/12/20 23:30,柑橘之家技术产业联盟,然而本季，品质不佳，市场供大于求导致粑粑柑价格下跌严重，目前散货的价格仅为2-3元/斤。,-1
上周水果（苹果、梨、柑橘、葡萄）市场行情及近期走势分析,2020/12/6 20:10,西北果业信息,桔子上市品种增加，部分品种价格较高，拉高桔子整体价格。,1
今年柑桔销售形势严峻，想要卖好价，要这么破局！,2020/11/15 23:40,桔荔呈祥,而在今年，平均的收购价格可以说是“腰斩”，已经降到4毛钱一斤。,-1
今年柑桔销售形势严峻，想要卖好价，要这么破局！,2020/11/15 23:40,桔荔呈祥,从目前情况看，由于品质不佳，本季多个柑橘品种都处于供大于求的状态，拉低了市场售价。,-1
今年柑桔销售形势严峻，想要卖好价，要这么破局！,2020/11/15 23:40,桔荔呈祥,如果后期粑粑柑等品种的口感能有所改善，走货速度和市场价格会得以回升。,1
今年柑桔销售形势严峻，想要卖好价，要这么破局！,2020/11/15 23:40,桔荔呈祥,上个月金秋砂糖橘刚上市那会，客商抢着收货，价格更是开到了5元每斤的地头价。,1
今年柑桔销售形势严峻，想要卖好价，要这么破局！,2020/11/15 23:40,桔荔呈祥,只不过好景不长，进入11月份之后，多地的金秋砂糖橘都上市了，价格也直线掉落。,-1
